hideSl. No:,Constituency,UDF candidate,Party,Votes,LDF candidate,Party,Votes,BJP+ candidate,Votes,Winner,Margin,Winning alliance,State,Year
38,Perinthalmanna,Manjalamkuzhi Ali,IUML,69730,V. Sasikumar,CPI(M),60141,C. K. Kunjumohammed,1989,Manjalamkuzhi Ali,9589,UDF,Kerala,2011
39,Mankada,T. A. Ahammed Kabeer,IUML,67756,Khadeeja Sathar,CPI(M),44163,K ManiKandan,4387,T. A. Ahammed Kabeer,23593,UDF,Kerala,2011
40,Malappuram,P. Ubaidulla,IUML,77928,Sadiq Madathil,JD(S),33420,K. Velayudhan,3841,P. Ubaidulla,44508,UDF,Kerala,2011
41,Vengara,P. K. Kunhalikutty,IUML,63138,K. P. Ismail,INL,24901,Subramaniyan,3417,P. K. Kunhalikutty,38237,UDF,Kerala,2011
42,Vallikunnu,K._N._A._Khader,IUML,57250,K. V. Sankaranarayanan,Independent,39128,M. Premkumar,11099,K. N. A. Khader,18122,UDF,Kerala,2011
43,Tirurangadi,P. K. Abdu Rabb,IUML,58666,K. K. Samad,CPI,28458,Sashidharan Punnasseri,5480,P. K. Abdu Rabb,30208,UDF,Kerala,2011
44,Tanur,Abdurahman Randathani,IUML,51549,E. Jayan,CPI(M),51549,Ravi Thelath,7304,Abdurahman Randathani,9433,UDF,Kerala,2011
45,Tirur,C. Mammootty,IUML,69305,P. P. Abdullakkutty,CPI(M),45739,P. T. Ali Haji,5543,C. Mammootty,23566,UDF,Kerala,2011
46,Kottakkal,M. P. Abdussamad Samadani,IUML,69717,C. P. K. Gurukkal,NCP,33815,K. K. Surendran,7782,M. P. Abdussamad Samadani,35902,UDF,Kerala,2011
47,Thavanur,V. V. Prakash,INC,50875,Dr K.T.Jaleel,Independent,57729,Nirmala Kuttikrishnan,7107,K.T. Jaleel,6854,LDF,Kerala,2011
48,Ponnani,P. T. Ajay Mohan,INC,53514,P. Sreeramakrishnan,CPI(M),57615,V. T. Jayapraksh,5680,P. Sreeramakrishnan,4101,LDF,Kerala,2011
49,Thrithala,V. T. Balram,INC,57848,P. Mammikkutty,CPI(M),54651,V. Ramankutty,5899,V. T. Balram,3197,UDF,Kerala,2011
50,Pattambi,C. P. Mohammed,INC,57728,K. P. Suresh Raj,CPI,45253,P. Babu,8874,C. P. Mohammed,12475,UDF,Kerala,2011
51,Shoranur,Shanta Jayaram,INC,46123,K. S. Saleekha,CPI(M),59616,V. B. Muralidharan,10562,K.S. Saleekha,13493,LDF,Kerala,2011
52,Ottappalam,V. K. Sreekandan,INC,51820,M. Hamsa,CPI(M),65023,P. Venugopal,9631,M. Hamsa,13203,LDF,Kerala,2011
53,Kongad (SC),P. Swaminathan,INC,49355,K.V. Vijayadas,CPI(M),52920,B. Devayani,8467,K. V. Vijayadas,3565,LDF,Kerala,2011
54,Mannarkkad,N. Shamusudheen,IUML,60191,V. Chamunni,CPI,51921,O. P. Vasadevanunni,5655,N. Shamusudheen,8270,UDF,Kerala,2011
55,Malampuzha,Lathika Subhash,INC,54312,V. S. Achuthanandan,CPI(M),77752,P. K. Majeed Pedikat (JDU),2772,V. S. Achuthanandan,23440,LDF,Kerala,2011
56,Palakkad,Shafi Parambil,INC,47641,K. K. Divakaran,CPI(M),40238,C. Uday Bhaskar,22317,Shafi Parambil,7403,UDF,Kerala,2011
57,Tarur (SC),N. Vinesh,KC(J),38419,A. K. Balan,CPI(M),64175,M. Lakshmanan,5385,A. K. Balan,25756,LDF,Kerala,2011
58,Chittur,K. Achuthan,INC,69916,Subhash Chandra Bose,CPI(M),57586,A. K. Omanakuttan,4518,K. Achuthan,12330,UDF,Kerala,2011
59,Nemmara,M. V. Raghavan,CMP,55475,V. Chenthamarakshan,CPI(M),64169,N. Sivarajan,9123,V. Chenthamarakshan,8694,LDF,Kerala,2011
60,Alathur,K. Kushalakumar,KC(M),42236,M. Chandran,CPI(M),66977,K. A. Sulaiman,5460,M. Chandran,24741,LDF,Kerala,2011
61,Chelakkara (SC),K. B. Sasikumar,INC,49007,K. Radhakrishnan,CPI(M),73683,V. A. Krishna Kumaran,7056,K. Radhakrishnan,24676,LDF,Kerala,2011
62,Kunnamkulam,C. P. John,CMP,57763,Babu M. Palissery,CPI(M),58244,K. K. Aneeshkumar,11725,Babu M. Palissery,481,LDF,Kerala,2011
63,Guruvayoor,Ashraf Kokkur,IUML,52278,K. V. Abdulkhader,CPI(M),62246,Dayanandan Mambulli,9306,K.V. Abdulkhader,9968,LDF,Kerala,2011
64,Manalur,P. A. Madhavan,INC,63077,Baby John,CPI(M),62596,P. M. Gopinath,10543,P. A. Madhavan,481,UDF,Kerala,2011
65,Wadakkanchery,C. N. Balakrishnan,INC,67911,N. R. Balan,CPI(M),61226,Shajumon Vattekadu,7451,C. N. Balakrishnan,6685,UDF,Kerala,2011
66,Ollur,M.P Vincent,INC,64823,Rajaji Mathew Thomas,CPI,58576,Sundar Rajan,6761,M.P Vincent,6247,UDF,Kerala,2011
67,Thrissur,Therambil Ramakrishnan,INC,59991,P. Balachandran,CPI,43822,Ravikumar Uppath,6697,Therambil Ramakrishnan,16169,UDF,Kerala,2011
68,Nattika (SC),Vikas Chakrapani,CMP (Independent),48501,Geetha Gopi,CPI,64555,Sarju Thoyyakkavu,11144,Geetha Gopi,16054,LDF,Kerala,2011
69,Kaipamangalam,Umesh Challiyil,JSS,45219,V. S. Sunil Kumar,CPI,58789,A.N. Radhakrishnan,10716,V.S. Sunil Kumar,13570,LDF,Kerala,2011
70,Irinjalakuda,Thomas Unniyadan,KC(M),68445,K. R. Vijaya,CPI(M),56041,K. C. Venugopal,6672,Thomas Unniyadan,12404,UDF,Kerala,2011
71,Puthukkad,K. P. Viswanathan,INC,46565,C. Raveendranath,CPI(M),73047,Sobha Surendran,14425,C. Raveendranath,26482,LDF,Kerala,2011
72,Chalakudy,K. T. Benny,INC,61061,B.D. Devasi,CPI(M),63610,Sudhir Baby,5976,B.D. Devasi,2549,LDF,Kerala,2011
73,Kodungallur,T N Prathapan,INC,64495,K G Sivanandan,CPI,55063,I. R. Vijayan,6732,T N Prathapan,9432,UDF,Kerala,2011
74,Perumbavoor,Jaison Joseph,INC,56246,Saju Paul,CPI(M),59628,O. C. Ashokan,5464,Saju Paul,3382,LDF,Kerala,2011
75,Angamaly,Johnny Nellore,KC(J),54330,Jose Thettayil,JD(S),61500,P. Brahmaraj,4117,Jose Thettayil,7170,LDF,Kerala,2011
76,Aluva,Anwar Sadath,INC,64244,A. M. Yusuf,CPI(M),51030,M. N. Gopi,8264,Anwar Sadath,13214,UDF,Kerala,2011
77,Kalamassery,V. K. Ibrahim Kunju,IUML,62843,K. Chandran Pillai,CPI(M),55054,P. Krishnadas,8438,V. K. Ibrahim Kunju,7789,UDF,Kerala,2011
78,Paravur,V.D. Satheesan,INC,74632,Pannyan Raveendran,CPI,63283,T. S. Purushothamman,3934,V.D. Satheesan,11349,UDF,Kerala,2011
