No.,Constituency,Total Electors,Votes polled,Winning Candidate,Winning Party,Vote %,Runner-up Candidate,Runner-up Party,Vote %,Second Runner-up Candidate,Second Runner-up Party,hideVote %
41,Ranipet,192217,157302,A. Mohammed Jaan,AIADMK,53.29%,R. Gandhi,DMK,44.27%,R. Murugan,IND,0.77%
42,Arcot,207232,175121,R. Srinivasan,AIADMK,53.25%,K.L. Elavazhagan,PMK,42.26%,M. Velu,IND,1.83%
43,Vellore,186065,140585,Dr. V.S. Vijay,AIADMK,50.87%,C. Gnanasekaran,INC,40.08%,J. Hassan,IND,3.75%
44,Anaikattu,184598,147093,M. Kalaiarasu,PMK,54.55%,V.B. Velu,DMDK,35.58%,M. Dharman,PCP,3.19%
45,Kilvaithinankuppam (SC),172801,139218,Se.Ku. Tamilarasan,RPI,51.72%,K. Seetharaman,DMK,44.71%,S. Anumanthan,IND,0.97%
46,Gudiyattam (SC),208182,161555,K. Lingamuthu,CPI,49.16%,K. Rajamarthandan,DMK,45.54%,C. Bharathi,IJK,1.04%
47,Vaniyambadi,186097,147147,Sampath Kumar,AIADMK,54.75%,H.Abdul Basith,IUML,42.36%,Mohammed Iliyas,IND,1.73%
48,Ambur,174817,136835,A. Aslam Basha,MNMK,44.11%,J. Vijay Ezhancheliyan,INC,40.39%,E. Sampath,IND,4.79%
49,Jolarpet,189460,155821,K.C. Veeramani,AIADMK,55.37%,K. Ponnuswamy,PMK,40.65%,M. Annamalai,IND,1.23%
50,Tirupattur,179715,149017,K.G. Ramesh,AIADMK,55.63%,S. Rajendran,DMK,41.00%,M. Selva Kumar,BJP,0.73%
Krishnagiri district,,,,,,,,,,,,
51,Uthangarai (SC),"1,83,411",152950,Manoranjitham Nagaraj,AIADMK,,Muniyammal Kaniamuthan,,Manoranjitham Kamaraj,,,
52,Bargur,"1,88,726",157907,PMK,AIADMK,,T. K. Raja,,Krishnamurthy,,,
53,Krishnagiri,"1,94,986",159512,INC,AIADMK,,Sayeeth,,K. P. Munusamy,,,
54,Veppanahalli,"1,84,098",158517,DMK,DMDK,,Senguttuvan,,S.M.Murugesan,,,
55,Hosur,"2,23,230",171572,INC,DMDK,,K. Gopinath,,Johnson,,,
56,Thalli,"1,82,722",154898,DMK,CPI,,Y.Prakash,,T. Ramachandran,,,
Dharmapuri district,,,,,,,,,,,,
57,Palacodu,"1,77,884",155967,PMK,AIADMK,,Padi Chelvan,,K. P. Anbalagan,,,
58,Pennagaram,"1,92,462",161882,DMK,CPI,,Inbasekaran,,Nanjappan,,,
59,Dharmapuri,"2,11,947",167227,PMK,DMDK,,P.Sandhamurthy,,A.Bhaskar,,,
60,Pappireddippatti,"2,05,283",167809,DMK,AIADMK,,V. Mullaivendhan,,Palaniappan,,,
61,Harur (SC),"1,85,506",149646,VCK,CPI(M),,Nandhan,,Dillibabu,,,
Tiruvannamalai district,,,,,,,,,,,,
62,Chengam (SC),"2,09,331",178119,INC,DMDK,,Chelvaperunthagai,,D.Sureshkumar,,,
63,Tiruvannamalai,"2,07,212",171338,DMK,AIADMK,,E. V. Velu,,Ramachandran,,,
64,Kilpennathur,"2,03,407",173106,DMK,AIADMK,,K. Pitchandi,,Arunganathan,,,
65,Kalasapakkam,"1,77,761",155413,INC,AIADMK,,Vijayakumar,,Agri.S.S.Krishnamurthy,,,
66,Polur,"1,93,193",166400,PMK,AIADMK,,K.Ethiroli Manian,,S.Jayasudha,,,
67,Arani,"2,11,401",180286,DMK,DMDK,,R. Sivanandam,,R.Mohan,,,
68,Cheyyar,"2,08,262",178891,INC,AIADMK,,VishnuPrasad,,Mukkur Subramaniam,,,
69,Vandavasi (SC),"1,97,252",162129,DMK,AIADMK,,Kamalakannan,,V.Gunaseelan,,,
Villupuram district,,,,,,,,,,,,
70,Gingee,"2,10,429",173794,PMK,DMDK,,Ganesh Kumar,,Sivalingam,,,
71,Mailam,"1,82,314",151169,PMK,AIADMK,,R.Prakash,,Nagarajan,,,
72,Tindivanam (SC),"1,85,432",152456,PMK,AIADMK,,M. P. Shankar,,S.Haridoss,,,
73,Vanur (SC),"1,94,093",158466,DMK,AIADMK,,Pushparaj,,Janaki Raman,,,
74,Villupuram,"2,04,517",171668,DMK,AIADMK,,K. Ponmudy,,C. V. Shanmugam,,,
75,Vikravandi,"1,84,923",151864,DMK,CPI(M),,Radhamani,,Ramamurthy,,,
76,Tirukkoyilur,"1,94,414",158699,DMK,DMDK,,Thangam,,S.Venkatesan,,,
77,Ulundurpettai,"2,25,414",190578,VCK,AIADMK,,Mohammed Yousuf,,Kumaraguru,,,
78,Rishivandiyam,"2,04,469",171067,INC,DMDK,,S. Sivaraj,,Vijayakanth,,,
79,Sankarapuram,"2,05,626",170499,DMK,AIADMK,,Udayasuriyan,,P.Mohan,,,
80,Kallakurichi (SC),"2,15,135",178086,VCK,AIADMK,,Paavarasu,,P.Alaguvel,,,
Salem district,,,,,,,,,,,,
81,Gangavalli (SC),"1,80,657",149371,DMK,DMDK,,Chinnathurai,,R.Subha,,,
82,Attur (SC),"1,93,113",158485,INC,AIADMK,,Arthanari,,S.Madheswaran,,,
83,Yercaud (ST),"2,06,535",179018,DMK,AIADMK,,Tamizhchelvan,,Perumal,,,
84,Omalur,"2,23,421",188550,PMK,AIADMK,,Tamilarasu,,Palpaaki SriKrishnan,,,
85,Mettur,"2,08,072",168942,PMK,DMDK,,G. K. Mani,,S.R.Parthiban,,,
86,Edappadi,"2,13,650",185149,PMK,AIADMK,,M. Karthik,,Palanichami,,,
87,Sankari,"2,12,064",184503,DMK,AIADMK,,S. Arumugam,,Vijayalakshmi Palanichami,,,
88,Salem (West),"2,07,869",169305,DMK,AIADMK,,Rajendran,,G.Venkatachalam,,,
89,Salem (North),"2,09,805",162763,INC,DMDK,,Jai Prakash,,R.Mohanraj,,,
90,Salem (South),"2,09,752",173080,DMK,AIADMK,,Sivalingam,,M.K.Selvaraj,,,
91,Veerapandi,"1,98,604",179472,DMK,AIADMK,,A. Rajendran,,S.K.Selvam,,,
Namakkal district,,,,,,,,,,,,
92,Rasipuram (SC),"1,91,531",161408,DMK,AIADMK,,V. P. Duraisamy,,P.Dhanapaul,,,
93,Senthamangalam (ST),"1,94,311",160773,DMK,DMDK,,K. Ponnusamy,,Santhi Rajamanickam,,,
94,Namakkal,"2,02,760",168804,KMK,AIADMK,,R. Devarajan,,K.P.P.Baskar,,,
95,Paramathi-Velur,"1,83,807",151284,PMK,TNKIP,,Vadivel Kounder,,U.Thaniyarasu,,,
96,Tiruchengodu,"1,79,032",149400,INC,DMDK,,Sundaram,,P. Sampathkumar,,,
97,Kumarapalayam,"1,81,871",160973,DMK,AIADMK,,Selvaraj,,P. Thangamani,,,
Erode district,,,,,,,,,,,,
98,Erode (East),"1,68,326",135881,DMK,DMDK,,Muthuswamy,,V.C.Chandrakumar,,,
99,Erode (West),"1,87,891",152525,INC,AIADMK,,Yuvaraj,,K.V.Ramalingam,,,
100,Modakkurichi,"1,86,037",152773,INC,AIADMK,,Palanichami,,R.M.Kittusamy,,,
101,Perundurai,"1,75,062",,KMK,AIADMK,,K.C.Balu,,Thoppu Venkatachalam,,,
102,Bhavani,"1,93,165",160085,PMK,AIADMK,,Mahendran,,P.G.Narayanan,,,
103,Anthiyur,"1,71,987",142730,DMK,AIADMK,,N. K. K. P. Raaja,,S.S.Ramanitharan,,,
104,Gobichettipalayam,"2,05,534",174062,KMK,AIADMK,,Sivaraj,,K. A. Sengottaiyan,,,
105,Bhavanisagar (SC),"1,96,606",163205,Sundaram,CPI,,,,,,,
Tiruppur district,,,,,,,,,,,,
106,Dharapuram (SC),"2,02,056",161733,DMK,AIADMK,,R.Jayanthi,,K.Ponnusamy,,,
107,Kangayam,"1,91,010",157817,INC,AIADMK,,Vidiyal S.Sekar,,N.S.N.Nadaraj,,,
108,Avanashi (SC),"1,89,344",154358,INC,AIADMK,,A.R.Nadarajan,,A.A.Karuppasami,,,
109,Tiruppur (North),"2,06,659",160873,DMK,AIADMK,,C. Govindasamy,,M.S.N.Anandan,,,
110,Tiruppur (South),"1,59,886",122278,INC,CPI(M),,K.Senthilkumar,,Thangavelu,,,
111,Palladam,"2,22,906",176693,KMK,AIADMK,,Balasubramanian,,K.P.Paramasivam,,,
112,Udumalpet,"1,96,192",156264,KMK,AIADMK,,Ilamparithi,,V. Jayaraman,,,
113,Madathukulam,"1,73,454",143177,DMK,AIADMK,,M. P. Saminathan,,C. Shanmugavelu,,,
Nilgiris district,,,,,,,,,,,,
114,Udhagamandalam,"1,66,961",121671,INC,AIADMK,,Ganesh,,Puthi Chandiran,,,
115,Gudalur (SC),"1,55,357",113871,DMK,DMDK,,Dravidamani,,S.Selvaraj,,,
116,Coonoor,"1,60,944",120705,DMK,CPI,,K. Ramachandhiran,,Thelli,,,
Coimbatore district,,,,,,,,,,,,
117,Mettuppalayam,"2,05,931",171175,DMK,AIADMK,,Arunkumar,,O.K.Chinnaraj,,,
118,Sulur,"2,06,125",169398,DMDK,KMK,,K.Dhinakaran,,E.R.Easwaran,,,
119,Kavundampalayam,"2,89,912",216571,DMK,AIADMK,,T.P.Subramanyam,,V.V.Aarukutti,,,
120,Coimbatore (North),"2,17,381",154760,DMK,AIADMK,,Veeragopal,,Tha.Malaravan,,,
121,Thondamuthur,"2,07,987",160054,INC,AIADMK,,Kandaswamy,,S.P.Velumani,,,
122,Coimbatore (South),"1,96,756",143008,DMK,AIADMK,,Pongalur N. Palanisamy,,Duraiswamy,,,
123,Singanallur,"2,23,945",158660,INC,AIADMK,,Mayura Jayakumar,,R.Chinnaswamy,,,
124,Kinathukadavu,"2,11,273",167278,DMK,AIADMK,,M.Kannappan,,S. Damodaran,,,
125,Pollachi,"1,73,393",141292,KMK,AIADMK,,Nithyanandan,,M.K.Muthukarupannaswamy,,,
126,Valparai (SC),"1,60,155",124075,INC,CPI,,Kovai Thangam,,Arumugam,,,
Dindigul district,,,,,,,,,,,,
127,Palani,"2,06,889",169276,DMK,AIADMK,,Senthilkumar,,K.S.N.Venugopal,,,
128,Oddanchatram,"1,93,037",168309,DMK,AIADMK,,A. R. A. Chakkarapani,,P.Balasubrmanian,,,
129,Athoor,"2,18,250",189736,DMK,DMDK,,I. Periasamy,,S. R. K. Balasubramaniam,,,
130,Nilakkottai (SC),"1,77,115",142995,INC,PT,,Rajaangam,,R.R. Ramaswamy,,,
131,Natham,"2,04,634",175941,DMK,AIADMK,,Vijayan,,R. Viswanathan,,,
132,Dindigul,"1,87,156",147142,PMK,CPI(M),,J. Balbaskar,,Balabharathi,,,
133,Vedasandur,"2,10,208",167855,INC,AIADMK,,Thandapani,,Palanichami,,,
Karur district,,,,,,,,,,,,
134,Aravakurichi,"1,66,526",145961,DMK,AIADMK,,K.C.Palanichami,,V.Senthilnathan,,,
135,Karur,"1,90,226",162344,INC,AIADMK,,Jothimani,,Senthil Balaji,,,
136,Krishnarayapuram (SC),"1,72,516",151291,DMK,AIADMK,,Kamaraj,,Kamaraj,,,
137,Kulithalai,"1,78,038",159260,DMK,AIADMK,,R.Manickam,,A.Paapasundaram,,,
Tiruchirappalli district,,,,,,,,,,,,
138,Manapparai,"2,12,581",172352,INC,AIADMK,,Supa.Somu,,R.Chandrasekar,,,
139,Srirangam,"2,17,632",178868,DMK,AIADMK,,N.Anand,,J. Jayalalithaa,,,
140,Tiruchirappalli (West),"1,98,950",154064,DMK,AIADMK,,K. N. Nehru,,N.Mariyam Pichai,,,
141,Tiruchirappalli (East),"1,94,708",151155,DMK,AIADMK,,Anbil Periyasamy,,R.Manoharan,,,
142,Thiruverumbur,"2,05,007",150408,DMK,DMDK,,Sekaran,,S.Senthilkumar,,,
143,Lalgudi,"1,72,440",145542,DMK,DMDK,,Soundarapandiyan,,Senthureswaran,,,
144,Manachanallur,"1,83,930",156273,DMK,AIADMK,,Selvaraj,,T.P.Poonatchi,,,
145,Musiri,"1,81,283",150949,INC,AIADMK,,Rajasekaran,,R.Sivapathi,,,
146,Thuraiyur (SC),"1,78,193",147828,DMK,AIADMK,,Parimaladevi,,T.IndiraGandhi,,,
Perambalur district,,,,,,,,,,,,
147,Perambalur (SC),"2,25,205",188086,DMK,AIADMK,,Prabhakaran,,Ilambai R.Tamizhchelvan,,,
148,Kunnam,"2,10,210",173851,DMK,DMDK,,Sivasankaran,,Thurai Kamaraj,,,
Ariyalur district,,,,,,,,,,,,
149,Ariyalur,"2,15,469",185277,INC,AIADMK,,D. Amaramoorthy,,Thurai Manivel,,,
150,Jayankondam,"2,14,025",179232,PMK,AIADMK,,J. Gurunathan,,Pa.Ilavazhagan,,,
Cuddalore district,,,,,,,,,,,,
151,Tittakudi (SC),"1,73,607",138835,VCK,DMDK,,Sindhani Selvan,,Tamizhazhagan,,,
152,Vriddhachalam,"1,93,120",157553,INC,DMDK,,Neethi Rajan,,P.V.P.Muthukumar,,,
153,Neyveli,"1,61,807",136075,PMK,AIADMK,,T. Velmurugan,,M.P.S.Sivasubramanian,,,
154,Panruti,"1,89,368",160966,DMK,DMDK,,Sapa.Rajendran,,P.Sivakolunthu,,,
155,Cuddalore,"1,77,366",141415,DMK,AIADMK,,Ila. Pugazhenthi,,M.C.Sampath,,,
156,Kurinjipadi,"1,78,350",157103,DMK,AIADMK,,M. R. K. Panneer Selvam,,Rajendran,,,
157,Bhuvanagiri,"2,05,264",169339,PMK,AIADMK,,Arivuchelvan,,Selvi Ramajeyam,,,
158,Chidambaram,"1,86,619",148058,MMK,CPI(M),,Sridhar Vandayar,,Balakrishnan,,,
159,Kattumannarkoil (SC),"1,79,633",144198,VCK,AIADMK,,D. Ravikumar,,N.Murugamaran,,,
Nagapattinam district,,,,,,,,,,,,
160,Sirkazhi (SC),"1,90,963",153166,VCK,AIADMK,,Unjai Arasan,,M.Sakthi,,,
161,Mayiladuthurai,"1,81,339",141215,INC,DMDK,,Rajkumar,,A.R.Palaarulchelvam,,,
162,Poompuhar,"2,07,849",168978,PMK,AIADMK,,Agoram,,S.Pavunraj,,,
163,Nagapattinam,"1,49,560",120288,IUML,AIADMK,,M.Mohammed Sheik Dawoo,,N.V.Kamaraj,,,
164,Kilvelur (SC),"1,40,127",129682,DMK,CPI(M),,U. Mathivanan,,Nagai Maali,,,
165,Vedaranyam,"1,54,281",120852,PMK,AIADMK,,Chinnadurai,,N.V.Kamaraj,Vedarathinam(Ind),,
Tiruvarur district,,,,,,,,,,,,
166,Thiruthuraipoondi (SC),"1,91,285",155832,INC,CPI,,Chellathurai,,Ulaganathan,,,
167,Mannargudi,"2,00,186",165540,DMK,AIADMK,,T.R.P.Raja,,Siva Rajamanickam,,,
168,Thiruvarur,"2,03,733",171927,DMK,AIADMK,,M. Karunanidhi,,Kudavasal M.Rajendran,,,
169,Nannilam,"2,16,064",180032,DMK,AIADMK,,Ilangovan,,R.Kamaraj,,,
Thanjavur district,,,,,,,,,,,,
170,Thiruvidaimarudur (SC),"1,93,346",158881,DMK,AIADMK,,Kovi.Chezhiyan,,D.Pandiarajan,,,
171,Kumbakonam,"1,94,306",160742,DMK,AIADMK,,K.Anbazhagan,,Ramanathan,,,
172,Papanasam,"1,95,278",159843,INC,AIADMK,,Ramkumar,,Duraikannu,,,
173,Thiruvaiyaru,"2,03,842",173802,DMK,AIADMK,,Chellakannan,,Rathinaswamy,,,
174,Thanjavur,"1,93,140",147934,DMK,AIADMK,,S. N. M. Ubayadullah,,M.Rangaswamy,,,
175,Orathanadu,"1,89,907",158347,DMK,AIADMK,,Mahesh Krishnaswamy,,R. Vaithilingam,,,
176,Pattukkottai,"1,82,191",145708,INC,DMDK,,N. R. Rengarajan,,N.Senthilkumar,,,
177,Peravurani,"1,69,420",140292,INC,DMDK,,K.Mahendran,,Arunpandiyan,,,
Pudukkotai district,,,,,,,,,,,,
178,Gandharvakottai (SC),"1,48,625",122064,DMK,AIADMK,,Kavithaipithan,,N. Subramanian,,,
179,Viralimalai,"1,57,653",137818,DMK,AIADMK,,S.Ragupathy,,C.Vijayabhaskar,,,
180,Pudukkottai,"1,70,269",139002,DMK,CPI,,Periyannan Arasu,,Muthukumaran,,,
181,Thirumayam,"1,68,422",135053,INC,AIADMK,,Ramasupuram,,Vairamuthu,,,
182,Alangudi,"1,65,163",137683,PMK,AIADMK,,K.Arulmani,,Ku.Pa.Krishnan,,,
183,Aranthangi,"1,66,754",127568,INC,AIADMK,,Thirunavukarasar,,M. Rajanayagam,,,
Sivaganga district,,,,,,,,,,,,
184,Karaikudi,"2,18,942",167903,INC,AIADMK,,K. R. Ramasamy,,Chola.Sitha.Palaniswamy,,,
185,Tiruppattur,"2,15,137",172646,DMK,AIADMK,,K.N.Periyakaruppan,,R. S. Raja Kannappan,,,
186,Sivaganga,"2,08,184",156590,INC,CPI,,V.Rajasekaran,,Gunasekaran,,,
187,Manamadurai (SC),"2,06,539",161070,DMK,AIADMK,,R. Tamizharasi,,M. Gunasekaran,,,
Madurai district,,,,,,,,,,,,
188,Melur,"1,91,254",158766,DMK,AIADMK,,Rani Rajamanickam,,R. Samy,,,
189,Madurai East,"2,25,311",179308,DMK,AIADMK,,P.Murthy,,K.Tamizharasan,,,
190,Sholavandan (SC),"1,72,386",144155,PMK,AIADMK,,M.Elamchezhiyan,,Karuppiah,,,
191,Madurai North,"1,88,702",142686,INC,AIADMK,,Rajendran,,A.K.Bose,,,
192,Madurai South,"1,70,952",135280,INC,CPI(M),,Varadharajan,,Annadurai,,,
193,Madurai Central,"1,86,527",143827,DMK,DMDK,,S. Syed Ghouse Basha,,R.Sundarajan,,,
194,Madurai West,"2,05,344",159965,DMK,AIADMK,,K.Thalapathi,,Sellur K Raju,,,
195,Thiruparankundram,"2,07,897",162428,INC,DMDK,,C.R.Sundarrajan,,A.K.T. Raja,,,
196,Thirumangalam,"2,14,271",181960,DMK,AIADMK,,M.Manimaran,,Pon.Muthuramalingam,,,
197,Usilampatti,"2,11,332",172366,DMK,AIFB,,Ramaswamy,,Kathiravan,,,
Theni district,,,,,,,,,,,,
198,Andipatti,"2,03,551",170221,DMK,AIADMK,,Mookiah,,Thanga Tamizhchelvan,,,
199,Periyakulam (SC),"1,96,517",159378,DMK,CPI(M),,Anbazhagan,,A.Lasar,,,
200,Bodinayakanur,"2,00,612",167241,DMK,AIADMK,,Lakshamanan,,O. Panneerselvam,,,
201,Cumbum,"2,10,466",164803,DMK,DMDK,,N. Eramakrishnan,,P.Murugesan,,,
Virudhunagar district,,,,,,,,,,,,
202,Rajapalayam,"1,78,690",148525,DMK,AIADMK,AINMK,Thangapandian,,K.Gopalswami,,Surya Maharaja,
203,Srivilliputhur (SC),"1,86,300",155160,DMK,CPI,AINMK,Thurai,,N.Ponnupandian,,Subramanian,
204,Sattur,"1,78,639",152115,DMK,AIADMK,AINMK,Kadarkarai Raj,,R.P.Udayakumar,,Vairamuthu,
205,Sivakasi,"1,73,851",147193,DMK,AIADMK,,Vanaraja,,K.T.Rajendra Balaji,,,
206,Virudhunagar,"1,65,089",134187,INC,DMDK,AINMK,Navin Armstrong,,K.Pandiarajan,,Senthamarai Pandian,
207,Aruppukkottai,"1,75,145",148758,DMK,AIADMK,,K. K. S. S. R. Ramachandran,,Vaigai Selvan,,,
