No.,Constituency,Total Electors,Votes polled,Winning Candidate,Winning Party,Vote %,Runner-up Candidate,Runner-up Party,Vote %,Second Runner-up Candidate,Second Runner-up Party,hideVote %
224,Tirunelveli,"1,96,331",156978,DMK,AIADMK,BJP,A. L. S. Lakshmanan,,Nayinar Nagendran,,G.Murugadoss,
225,Ambasamudram,"1,89,562",145423,DMK,AIADMK,,R. Avudaiyappan,,Isakki Suppiah,,,
226,Palayamkottai,"1,88,572",134856,DMK,CPI(M),,T. P. M. Mohideen Khan,,Pazhani,,S.Karthik Narayanan,
227,Nanguneri,"1,87,196",142140,INC,SMK,,H. Vasanthakumar,,A.Narayanan,,,
228,Radhapuram,"1,89,559",138439,INC,DMDK,,Velthurai,,S.Rayappan,,,
Kanniyakumari district,,,,,,,,,,,,
229,Kanniyakumari,"2,33,692",179418,DMK,AIADMK,,N. Suresh Rajan,,K.T.Pachaimal,,,
230,Nagercoil,"2,04,520",146365,DMK,AIADMK,BJP,R.Mahesh,,Nanjil.N.Murugesan,,Pon Radhakrishnan,
231,Colachal,"2,23,716",144820,INC,AIADMK,,G.J. Prince,,Lawrence,,,
232,Padmanabhapuram,"2,03,384",143859,DMK,DMDK,BJP,Pushpaleela Alban,,S.Austin,,Sujith,
233,Vilavancode,"2,04,169",143399,INC,CPI(M),BJP,Vijaya Tharani,,R. Leema Rose,,R.Jeyaseelan,
234,Killiyoor,"2,09,693",135760,INC,AIADMK,,S. John Jacob,,George,,,
